drug1,drug2,side_effect,proportional_reporting_ratio,source
Cyclosporine,Simvastatin,Rhabdomyolysis,82.3,TWOSIDES
Cyclosporine,Simvastatin,Rhabdomyolysis,92.1,TWOSIDES
Rifampicin,Warfarin,Reduced Anticoagulation,67.4,TWOSIDES
Rifampicin,Warfarin,Reduced Anticoagulation,62.3,TWOSIDES
Rifampicin,Warfarin,Reduced Anticoagulation,65.6,TWOSIDES
Rifampicin,Warfarin,Reduced Anticoagulation,72.6,TWOSIDES
Rifampicin,Oral Contraceptives,Contraceptive Failure,89.3,TWOSIDES
Rifampicin,Oral Contraceptives,Contraceptive Failure,82.0,TWOSIDES
Rifampicin,Oral Contraceptives,Contraceptive Failure,78.0,TWOSIDES
Rifampicin,Oral Contraceptives,Contraceptive Failure,83.7,TWOSIDES
Ketoconazole,Simvastatin,Myopathy,78.2,TWOSIDES
Ketoconazole,Simvastatin,Myopathy,70.3,TWOSIDES
Ketoconazole,Simvastatin,Myopathy,88.3,TWOSIDES
Ketoconazole,Simvastatin,Myopathy,85.4,TWOSIDES
Ritonavir,Simvastatin,Rhabdomyolysis,95.1,TWOSIDES
Ritonavir,Simvastatin,Rhabdomyolysis,98.9,TWOSIDES
Ritonavir,Simvastatin,Rhabdomyolysis,105.7,TWOSIDES
Ritonavir,Simvastatin,Rhabdomyolysis,103.8,TWOSIDES
Erythromycin,Carbamazepine,Neurotoxicity,54.8,TWOSIDES
Erythromycin,Carbamazepine,Neurotoxicity,49.6,TWOSIDES
Erythromycin,Carbamazepine,Neurotoxicity,61.3,TWOSIDES
Erythromycin,Carbamazepine,Neurotoxicity,55.4,TWOSIDES
